"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","100.2447","2022-07-05T02:00:00.000Z","0","100.2447"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7703.9084","2022-07-05T02:00:00.000Z","76.851","77.0391"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14464.481","2022-07-05T02:00:00.000Z","187.7551","72.3224"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21225.0537","2022-07-05T02:00:00.000Z","293.4783","70.7502"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","27671.1811","2022-07-05T02:00:00.000Z","391.111","69.178"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","33999.3916","2022-07-05T02:00:00.000Z","491.4769","67.9988"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","66819.6135","2022-07-05T02:00:00.000Z","982.6587","66.8196"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","130494.7746","2022-07-05T02:00:00.000Z","1952.9416","65.2474"
"2023-03-29T15:50:58.330Z","Azure Monitor","qatarcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","316410.5227","2022-07-05T02:00:00.000Z","4849.3966","63.2821"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","100.1361","2022-07-05T02:00:00.000Z","0","100.1361"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","7695.5647","2022-07-05T02:00:00.000Z","76.8511","76.9556"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","14448.8153","2022-07-05T02:00:00.000Z","187.7552","72.2441"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","21202.0659","2022-07-05T02:00:00.000Z","293.4782","70.6736"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","27641.2118","2022-07-05T02:00:00.000Z","391.1109","69.103"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","33962.5685","2022-07-05T02:00:00.000Z","491.4775","67.9251"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","66747.2445","2022-07-05T02:00:00.000Z","982.6595","66.7472"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","130353.4422","2022-07-05T02:00:00.000Z","1952.9425","65.1767"
"2023-04-12T13:28:34.468Z","Azure Monitor","qatarcentral","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","316067.8342","2022-07-05T02:00:00.000Z","4849.3992","63.2136"
"2023-05-02T08:07:40.927Z","Azure Monitor","qatarcentral","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","101.0885","2022-07-05T02:00:00.000Z","0","101.0885"
