"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","14.1228","2021-09-01T02:00:00.000Z","0","14.1228"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1009.7802","2020-10-01T02:00:00.000Z","71.5","10.0978"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1817.6044","2020-10-01T02:00:00.000Z","180","9.088"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2625.4285","2020-10-01T02:00:00.000Z","288.8896","8.7514"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3365.8869","2020-10-01T02:00:00.000Z","384.6113","8.4147"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4039.1208","2020-10-01T02:00:00.000Z","480.0077","8.0782"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7876.2856","2021-06-01T02:00:00.000Z","975.005","7.8763"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14944.747","2021-06-01T02:00:00.000Z","1897.4324","7.4724"
"2023-03-29T15:50:58.330Z","Sentinel","norwayeast","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","35342.307","2021-06-01T02:00:00.000Z","4729.7129","7.0685"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","13.7563","2021-09-01T02:00:00.000Z","0","13.7563"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","983.5754","2020-10-01T02:00:00.000Z","71.5","9.8358"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1770.4358","2020-10-01T02:00:00.000Z","179.9992","8.8522"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2557.2962","2020-10-01T02:00:00.000Z","288.8882","8.5243"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3278.539","2020-10-01T02:00:00.000Z","384.6109","8.1963"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3934.3018","2020-10-01T02:00:00.000Z","480.0095","7.8686"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7671.8885","2021-06-01T02:00:00.000Z","975.0004","7.6719"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14556.9167","2021-06-01T02:00:00.000Z","1897.4331","7.2785"
"2023-04-12T13:28:34.468Z","Sentinel","norwayeast","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","34425.1407","2021-06-01T02:00:00.000Z","4729.7026","6.885"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","13.4998","2021-09-01T02:00:00.000Z","0","13.4998"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","965.2357","2020-10-01T02:00:00.000Z","71.5","9.6524"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1737.4243","2020-10-01T02:00:00.000Z","179.9992","8.6871"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2509.6128","2020-10-01T02:00:00.000Z","288.8896","8.3654"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3217.4073","2020-10-01T02:00:00.000Z","384.6089","8.0435"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3860.9428","2020-10-01T02:00:00.000Z","480.0078","7.7219"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7528.8385","2021-06-01T02:00:00.000Z","974.9982","7.5288"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14285.4884","2021-06-01T02:00:00.000Z","1897.4456","7.1427"
"2023-05-02T08:07:40.927Z","Sentinel","norwayeast","DKK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","33783.2495","2021-06-01T02:00:00.000Z","4729.759","6.7566"
"2023-07-07T06:09:02.036Z","Sentinel","norwayeast","DKK","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","13.6642","2021-09-01T00:00:00.000Z","0","13.6642"
