"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","20.1383","2019-09-24T01:00:00.000Z","0","20.1383"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1006.9163","2019-09-24T01:00:00.000Z","50.0001","10.0692"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1812.4493","2019-09-24T01:00:00.000Z","179.9993","9.0622"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2617.9823","2019-09-24T01:00:00.000Z","288.8904","8.7266"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3356.3644","2019-09-24T01:00:00.000Z","384.6131","8.3909"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4027.665","2019-09-24T01:00:00.000Z","480.0039","8.0553"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7853.9468","2021-06-01T01:00:00.000Z","975.0036","7.8539"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14902.3605","2021-06-01T01:00:00.000Z","1897.4472","7.4512"
"2023-03-29T14:50:58.330Z","Sentinel","japaneast","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","35242.0688","2021-06-01T01:00:00.000Z","4729.7172","7.0484"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","19.9748","2019-09-24T01:00:00.000Z","0","19.9748"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","998.7382","2019-09-24T01:00:00.000Z","49.9999","9.9874"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1797.7288","2019-09-24T01:00:00.000Z","179.9997","8.9886"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2596.7194","2019-09-24T01:00:00.000Z","288.8903","8.6557"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3329.1045","2019-09-24T01:00:00.000Z","384.6141","8.3228"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","3994.953","2019-09-24T01:00:00.000Z","480.0011","7.9899"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7790.1583","2021-06-01T01:00:00.000Z","975.0007","7.7902"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14781.3261","2021-06-01T01:00:00.000Z","1897.4258","7.3907"
"2023-04-12T12:28:34.468Z","Sentinel","japaneast","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","34955.8387","2021-06-01T01:00:00.000Z","4729.7061","6.9912"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","20.0712","2019-09-24T01:00:00.000Z","0","20.0712"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1003.5595","2019-09-24T01:00:00.000Z","50","10.0356"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","1806.4071","2019-09-24T01:00:00.000Z","179.9999","9.032"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","2609.2547","2019-09-24T01:00:00.000Z","288.89","8.6975"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","3345.1753","2019-09-24T01:00:00.000Z","384.6134","8.3629"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","4014.238","2019-09-24T01:00:00.000Z","480.0055","8.0285"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","7827.7641","2021-06-01T01:00:00.000Z","974.9971","7.8278"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","14852.6806","2021-06-01T01:00:00.000Z","1897.4272","7.4263"
"2023-05-02T07:07:40.927Z","Sentinel","japaneast","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","35124.5825","2021-06-01T01:00:00.000Z","4729.7554","7.0249"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","45.2104","2023-07-01T01:00:00.000Z","0","45.2104"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","3109.6613","2023-07-01T01:00:00.000Z","68.782","31.0966"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","5757.0757","2023-07-01T01:00:00.000Z","185.1352","28.7854"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","8404.49","2023-07-01T01:00:00.000Z","291.9706","28.015"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","10897.7979","2023-07-01T01:00:00.000Z","388.9987","27.2445"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","13289.5998","2023-07-01T01:00:00.000Z","487.7902","26.5792"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","26053.919","2023-07-01T01:00:00.000Z","980.2371","26.0539"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","50426.94","2023-07-01T01:00:00.000Z","1935.4853","25.2135"
"2023-07-02T07:08:00.652Z","Sentinel","japaneast","CNY","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","121339.8244","2023-07-01T01:00:00.000Z","4812.4943","24.268"
