"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","Pay-as-you-go","1 GB","19.4895","2019-09-24T00:00:00.000Z","0","19.4895"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","100","1/Day","974.4732","2019-09-24T00:00:00.000Z","49.9999","9.7447"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","200","1/Day","1754.0518","2019-09-24T00:00:00.000Z","180.0006","8.7703"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","300","1/Day","2533.6303","2019-09-24T00:00:00.000Z","288.8875","8.4454"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","400","1/Day","3248.244","2019-09-24T00:00:00.000Z","384.617","8.1206"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","500","1/Day","3897.8928","2019-09-24T00:00:00.000Z","480.0006","7.7958"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","1000","1/Day","7600.891","2021-06-01T00:00:00.000Z","974.9982","7.6009"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","2000","1/Day","14422.2034","2021-06-01T00:00:00.000Z","1897.4336","7.2111"
"2023-03-29T13:50:58.330Z","Sentinel","westindia","DKK","5000","1/Day","34106.562","2021-06-01T00:00:00.000Z","4729.7308","6.8213"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","Pay-as-you-go","1 GB","18.9837","2019-09-24T00:00:00.000Z","0","18.9837"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","100","1/Day","949.1847","2019-09-24T00:00:00.000Z","50","9.4918"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","200","1/Day","1708.5325","2019-09-24T00:00:00.000Z","180.0009","8.5427"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","300","1/Day","2467.8802","2019-09-24T00:00:00.000Z","288.8876","8.2263"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","400","1/Day","3163.949","2019-09-24T00:00:00.000Z","384.6139","7.9099"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","500","1/Day","3796.7388","2019-09-24T00:00:00.000Z","479.9983","7.5935"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","1000","1/Day","7403.6407","2021-06-01T00:00:00.000Z","974.9971","7.4036"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","2000","1/Day","14047.9336","2021-06-01T00:00:00.000Z","1897.4463","7.024"
"2023-04-12T11:28:34.468Z","Sentinel","westindia","DKK","5000","1/Day","33221.4645","2021-06-01T00:00:00.000Z","4729.7074","6.6443"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","Pay-as-you-go","1 GB","18.6297","2019-09-24T00:00:00.000Z","0","18.6297"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","100","1/Day","931.4862","2019-09-24T00:00:00.000Z","50.0001","9.3149"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","200","1/Day","1676.6752","2019-09-24T00:00:00.000Z","179.9993","8.3834"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","300","1/Day","2421.8641","2019-09-24T00:00:00.000Z","288.8881","8.0729"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","400","1/Day","3104.954","2019-09-24T00:00:00.000Z","384.6145","7.7624"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","500","1/Day","3725.9448","2019-09-24T00:00:00.000Z","479.9991","7.4519"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","1000","1/Day","7265.5924","2021-06-01T00:00:00.000Z","974.9986","7.2656"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","2000","1/Day","13785.9958","2021-06-01T00:00:00.000Z","1897.4339","6.8930"
"2023-05-02T06:07:40.927Z","Sentinel","westindia","DKK","5000","1/Day","32602.017","2021-06-01T00:00:00.000Z","4729.7283","6.5204"
