"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","Pay-as-you-go","1 GB","3261.875","2019-09-24T00:00:00.000Z","0","3261.875"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","100","1/Day","163093.75","2019-09-24T00:00:00.000Z","50","1630.9375"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","200","1/Day","293568.75","2019-09-24T00:00:00.000Z","180","1467.8438"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","300","1/Day","424043.75","2019-09-24T00:00:00.000Z","288.8889","1413.4792"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","400","1/Day","543637.135","2019-09-24T00:00:00.000Z","384.6092","1359.0928"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","500","1/Day","652375","2019-09-24T00:00:00.000Z","480.0077","1304.75"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","1000","1/Day","1272131.25","2021-06-01T00:00:00.000Z","975","1272.1312"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","2000","1/Day","2413787.5","2021-06-01T00:00:00.000Z","1897.436","1206.8938"
"2023-03-29T13:50:58.330Z","Sentinel","uksouth","KRW","5000","1/Day","5708281.25","2021-06-01T00:00:00.000Z","4729.7295","1141.6562"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","Pay-as-you-go","1 GB","3256.625","2019-09-24T00:00:00.000Z","0","3256.625"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","100","1/Day","162831.25","2019-09-24T00:00:00.000Z","50","1628.3125"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","200","1/Day","293096.25","2019-09-24T00:00:00.000Z","180","1465.4812"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","300","1/Day","423361.25","2019-09-24T00:00:00.000Z","288.8889","1411.2042"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","400","1/Day","542762.149","2019-09-24T00:00:00.000Z","384.6092","1356.9054"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","500","1/Day","651325","2019-09-24T00:00:00.000Z","480.0077","1302.65"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","1000","1/Day","1270083.75","2021-06-01T00:00:00.000Z","975","1270.0838"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","2000","1/Day","2409902.5","2021-06-01T00:00:00.000Z","1897.4358","1204.9512"
"2023-04-12T11:28:34.468Z","Sentinel","uksouth","KRW","5000","1/Day","5699093.75","2021-06-01T00:00:00.000Z","4729.7299","1139.8188"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","Pay-as-you-go","1 GB","3340.875","2019-09-24T00:00:00.000Z","0","3340.875"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","100","1/Day","167043.75","2019-09-24T00:00:00.000Z","50","1670.4375"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","200","1/Day","300678.75","2019-09-24T00:00:00.000Z","180","1503.3938"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","300","1/Day","434313.75","2019-09-24T00:00:00.000Z","288.8889","1447.7125"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","400","1/Day","556803.591","2019-09-24T00:00:00.000Z","384.6092","1392.009"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","500","1/Day","668175","2019-09-24T00:00:00.000Z","480.0077","1336.35"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","1000","1/Day","1302941.25","2021-06-01T00:00:00.000Z","975","1302.9412"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","2000","1/Day","2472247.5","2021-06-01T00:00:00.000Z","1897.436","1236.1238"
"2023-05-02T06:07:40.927Z","Sentinel","uksouth","KRW","5000","1/Day","5846531.25","2021-06-01T00:00:00.000Z","4729.7295","1169.3062"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","Pay-as-you-go","1 GB","7033.005","2023-07-01T00:00:00.000Z","0","7033.005"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","100","1/Day","483682.5","2023-07-01T00:00:00.000Z","68.7732","4836.825"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","200","1/Day","895466.25","2023-07-01T00:00:00.000Z","185.1351","4477.3312"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","300","1/Day","1307250","2023-07-01T00:00:00.000Z","291.9708","4357.5"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","400","1/Day","1695058.785","2023-07-01T00:00:00.000Z","388.998","4237.6470"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","500","1/Day","2067089.0625","2023-07-01T00:00:00.000Z","487.7917","4134.1781"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","1000","1/Day","4052475","2023-07-01T00:00:00.000Z","980.2372","4052.475"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","2000","1/Day","7843500","2023-07-01T00:00:00.000Z","1935.4839","3921.75"
"2023-07-02T06:08:00.652Z","Sentinel","uksouth","KRW","5000","1/Day","18873421.875","2023-07-01T00:00:00.000Z","4812.5","3774.6844"
