"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.9932","2023-08-15T00:00:00.000Z","0","2.9932"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","230.0323","2023-08-15T00:00:00.000Z","76.8516","2.3003"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","431.8974","2023-08-15T00:00:00.000Z","187.757","2.1595"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","633.7625","2023-08-15T00:00:00.000Z","293.4765","2.1125"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","826.2385","2023-08-15T00:00:00.000Z","391.1188","2.0656"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1015.1936","2023-08-15T00:00:00.000Z","491.4764","2.0304"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1995.1781","2023-08-15T00:00:00.000Z","982.6527","1.9952"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3896.4655","2023-08-15T00:00:00.000Z","1952.9198","1.9482"
"2023-08-16T06:10:02.326Z","Azure Monitor","israelcentral","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9447.7551","2023-08-15T00:00:00.000Z","4849.4791","1.8896"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.0381","2023-08-15T00:00:00.000Z","0","3.0381"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","233.4842","2023-08-15T00:00:00.000Z","76.852","2.3348"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","438.3784","2023-08-15T00:00:00.000Z","187.7584","2.1919"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","643.2727","2023-08-15T00:00:00.000Z","293.4772","2.1442"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","838.637","2023-08-15T00:00:00.000Z","391.1188","2.0966"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1030.4276","2023-08-15T00:00:00.000Z","491.4755","2.0609"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2025.1177","2023-08-15T00:00:00.000Z","982.6375","2.0251"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3954.9358","2023-08-15T00:00:00.000Z","1952.9583","1.9775"
"2023-09-02T06:07:00.316Z","Azure Monitor","israelcentral","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9589.5281","2023-08-15T00:00:00.000Z","4849.3189","1.9179"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1299","2023-08-15T00:00:00.000Z","0","3.1299"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","240.5366","2023-08-15T00:00:00.000Z","76.8512","2.4054"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","451.6197","2023-08-15T00:00:00.000Z","187.7524","2.2581"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","662.7028","2023-08-15T00:00:00.000Z","293.4781","2.209"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","863.968","2023-08-15T00:00:00.000Z","391.1127","2.1599"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1061.5516","2023-08-15T00:00:00.000Z","491.4818","2.1231"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2086.2864","2023-08-15T00:00:00.000Z","982.6604","2.0863"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4074.3947","2023-08-15T00:00:00.000Z","1952.9285","2.0372"
"2023-10-02T06:08:46.154Z","Azure Monitor","israelcentral","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9879.1799","2023-08-15T00:00:00.000Z","4849.3913","1.9758"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3.1099","2023-08-15T00:00:00.000Z","0","3.1099"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","239.0018","2023-08-15T00:00:00.000Z","76.8519","2.39"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","448.7381","2023-08-15T00:00:00.000Z","187.7565","2.2437"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","658.4743","2023-08-15T00:00:00.000Z","293.477","2.1949"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","858.4554","2023-08-15T00:00:00.000Z","391.1137","2.1461"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1054.7783","2023-08-15T00:00:00.000Z","491.4861","2.1096"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2072.9748","2023-08-15T00:00:00.000Z","982.6388","2.073"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","4048.3978","2023-08-15T00:00:00.000Z","1952.9174","2.0242"
"2023-11-01T06:08:41.407Z","Azure Monitor","israelcentral","EUR","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","9816.1452","2023-08-15T00:00:00.000Z","4849.3949","1.9632"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","2.9961","2023-08-15T00:00:00.000Z","0","2.9961"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","100 GB Commitment Tier Capacity Reservation","100","1/Day","230.2523","2023-08-15T00:00:00.000Z","76.8507","2.3025"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","200 GB Commitment Tier Capacity Reservation","200","1/Day","432.3104","2023-08-15T00:00:00.000Z","187.757","2.1616"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","300 GB Commitment Tier Capacity Reservation","300","1/Day","634.3685","2023-08-15T00:00:00.000Z","293.4717","2.1146"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","400 GB Commitment Tier Capacity Reservation","400","1/Day","827.0285","2023-08-15T00:00:00.000Z","391.104","2.0676"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","500 GB Commitment Tier Capacity Reservation","500","1/Day","1016.1643","2023-08-15T00:00:00.000Z","491.4704","2.0323"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1997.0859","2023-08-15T00:00:00.000Z","982.6728","1.9971"
"2023-12-02T06:07:58.693Z","Azure Monitor","israelcentral","EUR","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","3900.1912","2023-08-15T00:00:00.000Z","1952.9273","1.9501"
