"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.1038","2018-02-01T00:00:00.000Z","0","91.1038"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","6688.6646","2019-11-01T00:00:00.000Z","73.4181","66.8866"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","12558.3091","2019-11-01T00:00:00.000Z","187.7552","62.7915"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","18427.9536","2019-11-01T00:00:00.000Z","293.4785","61.4265"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","24024.5914","2019-11-01T00:00:00.000Z","391.1112","60.0615"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","29518.8516","2019-11-01T00:00:00.000Z","491.4771","59.0377"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","58013.928","2021-06-01T02:00:00.000Z","982.659","58.0139"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","113297.7888","2021-06-01T02:00:00.000Z","1952.9421","56.6489"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","274713.012","2021-06-01T02:00:00.000Z","4849.3971","54.9426"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.0051","2018-02-01T00:00:00.000Z","0","91.0051"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","6681.4205","2019-11-01T00:00:00.000Z","73.4181","66.8142"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","12544.7078","2019-11-01T00:00:00.000Z","187.7551","62.7235"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","18407.9952","2019-11-01T00:00:00.000Z","293.4784","61.36"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","23998.5715","2019-11-01T00:00:00.000Z","391.111","59.9964"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","29486.8812","2019-11-01T00:00:00.000Z","491.4775","58.9738"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","57951.096","2021-06-01T02:00:00.000Z","982.6583","57.9511"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","113175.0816","2021-06-01T02:00:00.000Z","1952.941","56.5875"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","274415.484","2021-06-01T02:00:00.000Z","4849.4011","54.8831"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","91.8707","2018-02-01T00:00:00.000Z","0","91.8707"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","100 GB Commitment Tier Capacity Reservation","100","1/Day","6744.9715","2019-11-01T00:00:00.000Z","73.4181","67.4497"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","200 GB Commitment Tier Capacity Reservation","200","1/Day","12664.0282","2019-11-01T00:00:00.000Z","187.7551","63.3201"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","300 GB Commitment Tier Capacity Reservation","300","1/Day","18583.0848","2019-11-01T00:00:00.000Z","293.4784","61.9436"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","400 GB Commitment Tier Capacity Reservation","400","1/Day","24226.8365","2019-11-01T00:00:00.000Z","391.1112","60.5671"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","500 GB Commitment Tier Capacity Reservation","500","1/Day","29767.3488","2019-11-01T00:00:00.000Z","491.4772","59.5347"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","58502.304","2021-06-01T02:00:00.000Z","982.6589","58.5023"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","114251.5584","2021-06-01T02:00:00.000Z","1952.9413","57.1258"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus","TWD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","277025.616","2021-06-01T02:00:00.000Z","4849.3958","55.4051"
