"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.2787","2019-09-24T01:00:00.000Z","0","27.2787"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1363.934","2019-09-24T01:00:00.000Z","50","13.6393"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2455.0812","2019-09-24T01:00:00.000Z","180.0005","12.2754"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3546.2284","2019-09-24T01:00:00.000Z","288.889","11.8208"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4546.4117","2019-09-24T01:00:00.000Z","384.6112","11.366"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5455.736","2019-09-24T01:00:00.000Z","480.0049","10.9115"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10638.6852","2021-06-01T01:00:00.000Z","974.9975","10.6387"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20186.2232","2021-06-01T01:00:00.000Z","1897.4333","10.0931"
"2023-03-29T14:50:58.330Z","Sentinel","germanywestcentral","SEK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47737.69","2021-06-01T01:00:00.000Z","4729.7352","9.5475"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.0732","2019-09-24T01:00:00.000Z","0","27.0732"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1353.6575","2019-09-24T01:00:00.000Z","49.9999","13.5366"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2436.5835","2019-09-24T01:00:00.000Z","179.9997","12.1829"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3519.5095","2019-09-24T01:00:00.000Z","288.8893","11.7317"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4512.157","2019-09-24T01:00:00.000Z","384.6124","11.2804"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5414.63","2019-09-24T01:00:00.000Z","480.0034","10.8293"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10558.5285","2021-06-01T01:00:00.000Z","974.9964","10.5585"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20034.131","2021-06-01T01:00:00.000Z","1897.441","10.0171"
"2023-04-12T12:28:34.468Z","Sentinel","germanywestcentral","SEK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47378.0125","2021-06-01T01:00:00.000Z","4729.7134","9.4756"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","26.8581","2019-09-24T01:00:00.000Z","0","26.8581"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1342.9065","2019-09-24T01:00:00.000Z","50.0001","13.4291"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2417.2317","2019-09-24T01:00:00.000Z","179.9995","12.0862"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3491.5569","2019-09-24T01:00:00.000Z","288.8879","11.6385"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4476.3206","2019-09-24T01:00:00.000Z","384.6132","11.1908"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5371.626","2019-09-24T01:00:00.000Z","480.0038","10.7433"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10474.6707","2021-06-01T01:00:00.000Z","974.9956","10.4747"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","19875.0162","2021-06-01T01:00:00.000Z","1897.4306","9.9375"
"2023-05-02T07:07:40.927Z","Sentinel","germanywestcentral","SEK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47001.7275","2021-06-01T01:00:00.000Z","4729.7336","9.4003"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","60.4553","2023-07-01T01:00:00.000Z","0","60.4553"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4140.3763","2023-07-01T01:00:00.000Z","68.4866","41.4038"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7664.7359","2023-07-01T01:00:00.000Z","185.1216","38.3237"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","11189.0955","2023-07-01T01:00:00.000Z","291.9628","37.297"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","14508.0802","2023-07-01T01:00:00.000Z","388.9879","36.2702"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","17691.5542","2023-07-01T01:00:00.000Z","487.7711","35.3831"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","34683.3843","2023-07-01T01:00:00.000Z","980.2246","34.6834"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","67125.9213","2023-07-01T01:00:00.000Z","1935.3905","33.563"
"2023-07-02T07:08:00.652Z","Sentinel","germanywestcentral","SEK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","161515.1241","2023-07-01T01:00:00.000Z","4812.297","32.303"
