"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.078","2019-09-24T01:00:00.000Z","0","27.078"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1353.898","2019-09-24T01:00:00.000Z","49.9999","13.539"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2437.0164","2019-09-24T01:00:00.000Z","179.9997","12.1851"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3520.1348","2019-09-24T01:00:00.000Z","288.8885","11.7338"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4512.9586","2019-09-24T01:00:00.000Z","384.6119","11.2824"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5415.592","2019-09-24T01:00:00.000Z","480.0035","10.8312"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10560.4044","2021-06-01T01:00:00.000Z","974.9986","10.5604"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20037.6904","2021-06-01T01:00:00.000Z","1897.4367","10.0188"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47386.43","2021-06-01T01:00:00.000Z","4729.7511","9.4773"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.1031","2019-09-24T01:00:00.000Z","0","27.1031"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1355.1525","2019-09-24T01:00:00.000Z","49.9999","13.5515"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2439.2745","2019-09-24T01:00:00.000Z","180.0003","12.1964"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3523.3965","2019-09-24T01:00:00.000Z","288.8882","11.7447"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4517.1403","2019-09-24T01:00:00.000Z","384.611","11.2929"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5420.61","2019-09-24T01:00:00.000Z","480.0016","10.8412"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10570.1895","2021-06-01T01:00:00.000Z","975.0018","10.5702"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20056.257","2021-06-01T01:00:00.000Z","1897.434","10.0281"
"2023-04-12T12:28:34.468Z","Sentinel","southeastasia","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","47430.3375","2021-06-01T01:00:00.000Z","4729.7432","9.4861"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","27.6173","2019-09-24T01:00:00.000Z","0","27.6173"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","1380.8665","2019-09-24T01:00:00.000Z","50.0001","13.8087"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","2485.5597","2019-09-24T01:00:00.000Z","179.9995","12.4278"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","3590.2529","2019-09-24T01:00:00.000Z","288.8889","11.9675"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","4602.8529","2019-09-24T01:00:00.000Z","384.6127","11.5071"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","5523.466","2019-09-24T01:00:00.000Z","480.005","11.0469"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","10770.7587","2021-06-01T01:00:00.000Z","975.0028","10.7708"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","20436.8242","2021-06-01T01:00:00.000Z","1897.4286","10.2184"
"2023-05-02T07:07:40.927Z","Sentinel","southeastasia","NOK","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","48330.3275","2021-06-01T01:00:00.000Z","4729.7353","9.6661"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","NOK","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","60.4539","2023-07-01T01:00:00.000Z","0","60.4539"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","NOK","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","4161.4773","2023-07-01T01:00:00.000Z","68.8372","41.6148"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","NOK","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","7704.3567","2023-07-01T01:00:00.000Z","185.135","38.5218"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","NOK","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","11247.236","2023-07-01T01:00:00.000Z","291.9707","37.4908"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","NOK","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","14583.88","2023-07-01T01:00:00.000Z","388.9989","36.4597"
