"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.6","2019-09-24T01:00:00.000Z","0","2.6"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","130","2019-09-24T01:00:00.000Z","50","1.3"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","234","2019-09-24T01:00:00.000Z","180","1.17"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","338","2019-09-24T01:00:00.000Z","288.8889","1.1267"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","433.33","2019-09-24T01:00:00.000Z","384.601","1.0833"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","520","2019-09-24T01:00:00.000Z","480.0148","1.04"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1014","2021-06-01T01:00:00.000Z","975","1.014"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1924","2021-06-01T01:00:00.000Z","1897.4359","0.962"
"2023-03-29T14:50:58.330Z","Sentinel","southeastasia","USD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4550","2021-06-01T01:00:00.000Z","4729.7297","0.91"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","5.59","2023-07-01T01:00:00.000Z","0","5.59"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","384.8","2023-07-01T01:00:00.000Z","68.8372","3.848"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","712.4","2023-07-01T01:00:00.000Z","185.1351","3.562"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","1040","2023-07-01T01:00:00.000Z","291.9708","3.4667"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","1348.53","2023-07-01T01:00:00.000Z","388.9953","3.3713"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","1644.5","2023-07-01T01:00:00.000Z","487.794","3.289"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3224","2023-07-01T01:00:00.000Z","980.2372","3.224"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","6240","2023-07-01T01:00:00.000Z","1935.4839","3.12"
"2023-07-02T07:08:00.652Z","Sentinel","southeastasia","USD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","15015","2023-07-01T01:00:00.000Z","4812.5","3.003"
