"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.4664","2019-09-24T02:00:00.000Z","0","2.4664"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","123.3221","2019-09-24T02:00:00.000Z","50.0009","1.2332"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","221.9798","2019-09-24T02:00:00.000Z","180.0031","1.1099"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","320.6375","2019-09-24T02:00:00.000Z","288.8886","1.0688"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","411.0705","2019-09-24T02:00:00.000Z","384.6094","1.0277"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","493.2884","2019-09-24T02:00:00.000Z","479.9926","0.9866"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","961.9124","2021-06-01T02:00:00.000Z","974.9771","0.9619"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1825.1672","2021-06-01T02:00:00.000Z","1897.4604","0.9126"
"2023-03-29T15:50:58.330Z","Sentinel","southeastasia","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4316.2738","2021-06-01T02:00:00.000Z","4729.6448","0.8633"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.4005","2019-09-24T02:00:00.000Z","0","2.4005"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","120.0259","2019-09-24T02:00:00.000Z","50.0004","1.2003"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","216.0465","2019-09-24T02:00:00.000Z","179.9938","1.0802"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","312.0672","2019-09-24T02:00:00.000Z","288.8976","1.0402"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","400.0831","2019-09-24T02:00:00.000Z","384.6213","1.0002"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","480.1034","2019-09-24T02:00:00.000Z","480.0074","0.9602"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","936.2016","2021-06-01T02:00:00.000Z","975.0069","0.9362"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1776.3826","2021-06-01T02:00:00.000Z","1897.4392","0.8882"
"2023-04-12T13:28:34.468Z","Sentinel","southeastasia","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4200.9048","2021-06-01T02:00:00.000Z","4729.6834","0.8402"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","2.3543","2019-09-24T02:00:00.000Z","0","2.3543"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","117.7163","2019-09-24T02:00:00.000Z","50.0006","1.1772"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","211.8893","2019-09-24T02:00:00.000Z","179.9943","1.0594"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","306.0624","2019-09-24T02:00:00.000Z","288.9016","1.0202"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","392.3847","2019-09-24T02:00:00.000Z","384.6155","0.981"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","470.8652","2019-09-24T02:00:00.000Z","479.9849","0.9417"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","918.1872","2021-06-01T02:00:00.000Z","975.0315","0.9182"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1742.2013","2021-06-01T02:00:00.000Z","1897.4094","0.8711"
"2023-05-02T08:07:40.927Z","Sentinel","southeastasia","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4120.0706","2021-06-01T02:00:00.000Z","4729.7332","0.824"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic Pay-as-you-go Analysis","Pay-as-you-go","1 GB","2.3852","2019-09-24T00:00:00.000Z","0","2.3852"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","119.2606","2019-09-24T00:00:00.000Z","50.0003","1.1926"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","214.6691","2019-09-24T00:00:00.000Z","180.0009","1.0733"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","310.0775","2019-09-24T00:00:00.000Z","288.9011","1.0336"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","397.5322","2019-09-24T00:00:00.000Z","384.6093","0.9938"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","477.0423","2019-09-24T00:00:00.000Z","480.0184","0.9541"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","930.2326","2021-06-01T00:00:00.000Z","974.9844","0.9302"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","1765.0566","2021-06-01T00:00:00.000Z","1897.5023","0.8825"
"2023-07-07T06:09:02.036Z","Sentinel","southeastasia","EUR","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","4174.1205","2021-06-01T00:00:00.000Z","4729.8816","0.8348"
