"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3601.11","2018-02-01T00:00:00.000Z","0","3601.11"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","306877.2","2019-11-01T00:00:00.000Z","85.2174","3068.772"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","576177.6","2019-11-01T00:00:00.000Z","187.7551","2880.888"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","845478","2019-11-01T00:00:00.000Z","293.4783","2818.26"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1102252.8","2019-11-01T00:00:00.000Z","391.1111","2755.632"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1354330.5","2019-11-01T00:00:00.000Z","491.4773","2708.661"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2661690","2021-06-01T02:00:00.000Z","982.659","2661.69"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5198124","2021-06-01T02:00:00.000Z","1952.9412","2599.062"
"2023-03-29T15:50:58.330Z","Azure Monitor","northeurope","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12603885","2021-06-01T02:00:00.000Z","4849.3976","2520.777"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3595.314","2018-02-01T00:00:00.000Z","0","3595.314"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","306383.28","2019-11-01T00:00:00.000Z","85.2174","3063.8328"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","575250.24","2019-11-01T00:00:00.000Z","187.7551","2876.2512"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","844117.2","2019-11-01T00:00:00.000Z","293.4783","2813.724"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1100478.72","2019-11-01T00:00:00.000Z","391.1111","2751.1968"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1352150.7","2019-11-01T00:00:00.000Z","491.4773","2704.3014"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2657406","2021-06-01T02:00:00.000Z","982.659","2657.406"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5189757.6","2021-06-01T02:00:00.000Z","1952.9412","2594.8788"
"2023-04-12T13:28:34.468Z","Azure Monitor","northeurope","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12583599","2021-06-01T02:00:00.000Z","4849.3976","2516.7198"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3688.326","2018-02-01T00:00:00.000Z","0","3688.326"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","314309.52","2019-11-01T00:00:00.000Z","85.2174","3143.0952"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","590132.16","2019-11-01T00:00:00.000Z","187.7551","2950.6608"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","865954.8","2019-11-01T00:00:00.000Z","293.4783","2886.516"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1128948.48","2019-11-01T00:00:00.000Z","391.1111","2822.3712"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1387131.3","2019-11-01T00:00:00.000Z","491.4773","2774.2626"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2726154","2021-06-01T02:00:00.000Z","982.659","2726.154"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5324018.4","2021-06-01T02:00:00.000Z","1952.9412","2662.0092"
"2023-05-02T08:07:40.927Z","Azure Monitor","northeurope","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12909141","2021-06-01T02:00:00.000Z","4849.3976","2581.8282"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3655.482","2018-02-01T00:00:00.000Z","0","3655.482"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","311510.64","2019-11-01T00:00:00.000Z","85.2174","3115.1064"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","584877.12","2019-11-01T00:00:00.000Z","187.7551","2924.3856"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","858243.6","2019-11-01T00:00:00.000Z","293.4783","2860.812"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1118895.36","2019-11-01T00:00:00.000Z","391.1111","2797.2384"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1374779.1","2019-11-01T00:00:00.000Z","491.4773","2749.5582"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2701878","2021-06-01T02:00:00.000Z","982.659","2701.878"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5276608.8","2021-06-01T02:00:00.000Z","1952.9412","2638.3044"
"2023-06-02T08:07:42.568Z","Azure Monitor","northeurope","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","12794187","2021-06-01T02:00:00.000Z","4849.3976","2558.8374"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","KRW","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","3608.01","2018-02-01T00:00:00.000Z","0","3608.01"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","307465.2","2019-11-01T00:00:00.000Z","85.2174","3074.652"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","577281.6","2019-11-01T00:00:00.000Z","187.7551","2886.408"
"2023-07-07T06:09:02.036Z","Azure Monitor","northeurope","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","847098","2019-11-01T00:00:00.000Z","293.4783","2823.66"
