"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","313.6855","2022-08-01T02:00:00.000Z","0","313.6855"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","26731.46","2022-08-01T02:00:00.000Z","85.2174","267.3146"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","50189.68","2022-08-01T02:00:00.000Z","187.7551","250.9484"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","73647.9","2022-08-01T02:00:00.000Z","293.4783","245.493"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","96015.04","2022-08-01T02:00:00.000Z","391.1111","240.0376"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","117973.025","2022-08-01T02:00:00.000Z","491.4773","235.946"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","231854.5","2022-08-01T02:00:00.000Z","982.6592","231.8545"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","452798.2","2022-08-01T02:00:00.000Z","1952.9412","226.3991"
"2023-03-29T15:50:58.330Z","Azure Monitor","westus3","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1097899.25","2022-08-01T02:00:00.000Z","4849.3976","219.5798"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","304.7615","2022-08-01T02:00:00.000Z","0","304.7615"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","25970.98","2022-08-01T02:00:00.000Z","85.2174","259.7098"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","48761.84","2022-08-01T02:00:00.000Z","187.7551","243.8092"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","71552.7","2022-08-01T02:00:00.000Z","293.4783","238.509"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","93283.52","2022-08-01T02:00:00.000Z","391.1111","233.2088"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","114616.825","2022-08-01T02:00:00.000Z","491.4773","229.2336"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","225258.5","2022-08-01T02:00:00.000Z","982.6592","225.2585"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","439916.6","2022-08-01T02:00:00.000Z","1952.9412","219.9583"
"2023-04-12T13:28:34.468Z","Azure Monitor","westus3","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1066665.25","2022-08-01T02:00:00.000Z","4849.3976","213.333"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","306.6935","2022-08-01T02:00:00.000Z","0","306.6935"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","26135.62","2022-08-01T02:00:00.000Z","85.2174","261.3562"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","49070.96","2022-08-01T02:00:00.000Z","187.7551","245.3548"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","72006.3","2022-08-01T02:00:00.000Z","293.4783","240.021"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","93874.88","2022-08-01T02:00:00.000Z","391.1111","234.6872"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","115343.425","2022-08-01T02:00:00.000Z","491.4773","230.6868"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","226686.5","2022-08-01T02:00:00.000Z","982.6592","226.6865"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","442705.4","2022-08-01T02:00:00.000Z","1952.9412","221.3527"
"2023-05-02T08:07:40.927Z","Azure Monitor","westus3","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1073427.25","2022-08-01T02:00:00.000Z","4849.3976","214.6854"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","323.1385","2022-08-01T02:00:00.000Z","0","323.1385"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","100 GB Commitment Tier Capacity Reservation","100","1/Day","27537.02","2022-08-01T02:00:00.000Z","85.2174","275.3702"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","200 GB Commitment Tier Capacity Reservation","200","1/Day","51702.16","2022-08-01T02:00:00.000Z","187.7551","258.5108"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","300 GB Commitment Tier Capacity Reservation","300","1/Day","75867.3","2022-08-01T02:00:00.000Z","293.4783","252.891"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","400 GB Commitment Tier Capacity Reservation","400","1/Day","98908.48","2022-08-01T02:00:00.000Z","391.1111","247.2712"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","500 GB Commitment Tier Capacity Reservation","500","1/Day","121528.175","2022-08-01T02:00:00.000Z","491.4773","243.0564"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","238841.5","2022-08-01T02:00:00.000Z","982.6588","238.8415"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","466443.4","2022-08-01T02:00:00.000Z","1952.9412","233.2217"
"2023-06-02T08:07:42.568Z","Azure Monitor","westus3","JPY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","1130984.75","2022-08-01T02:00:00.000Z","4849.3976","226.197"
