"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.8333","2021-10-01T02:00:00.000Z","0","5.8333"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","344.9749","2019-11-01T00:00:00.000Z","59.1389","3.4497"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","647.708","2019-11-01T00:00:00.000Z","187.7578","3.2385"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","950.441","2019-11-01T00:00:00.000Z","293.4819","3.1681"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1239.0935","2019-11-01T00:00:00.000Z","391.1157","3.0977"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1522.4657","2019-11-01T00:00:00.000Z","491.4826","3.0449"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2992.1292","2021-06-01T02:00:00.000Z","982.6691","2.9921"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5843.4523","2021-06-01T02:00:00.000Z","1952.9602","2.9217"
"2023-03-29T15:50:58.330Z","Azure Monitor","switzerlandwest","CAD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","14168.6118","2021-06-01T02:00:00.000Z","4849.441","2.8337"
"2023-04-12T13:28:34.468Z","Azure Monitor","switzerlandwest","CAD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","5.8082","2021-10-01T02:00:00.000Z","0","5.8082"
"2023-04-12T13:28:34.468Z","Azure Monitor","switzerlandwest","CAD","100 GB Commitment Tier Capacity Reservation","100","1/Day","343.4958","2019-11-01T00:00:00.000Z","59.1398","3.435"
"2023-04-12T13:28:34.468Z","Azure Monitor","switzerlandwest","CAD","200 GB Commitment Tier Capacity Reservation","200","1/Day","644.9309","2019-11-01T00:00:00.000Z","187.7528","3.2247"
"2023-04-12T13:28:34.468Z","Azure Monitor","switzerlandwest","CAD","300 GB Commitment Tier Capacity Reservation","300","1/Day","946.3659","2019-11-01T00:00:00.000Z","293.4741","3.1546"
"2023-04-12T13:28:34.468Z","Azure Monitor","switzerlandwest","CAD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1233.7808","2019-11-01T00:00:00.000Z","391.1053","3.0845"
