"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","Pay-as-you-go","1 GB","2.8102","2021-08-01T00:00:00.000Z","0","2.8102"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","100","1/Day","308.7407","2021-08-01T00:00:00.000Z","109.8643","3.0874"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","200","1/Day","579.6713","2021-08-01T00:00:00.000Z","187.7539","2.8984"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","300","1/Day","850.6018","2021-08-01T00:00:00.000Z","293.4729","2.8353"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","400","1/Day","1108.929","2021-08-01T00:00:00.000Z","391.1152","2.7723"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","500","1/Day","1362.5381","2021-08-01T00:00:00.000Z","491.4829","2.7251"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","1000","1/Day","2677.8206","2021-06-08T00:00:00.000Z","982.6504","2.6778"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","2000","1/Day","5229.6262","2021-06-08T00:00:00.000Z","1952.9562","2.6148"
"2023-03-29T13:50:58.330Z","Azure Monitor","swedensouth","CHF","5000","1/Day","12680.2682","2021-06-08T00:00:00.000Z","4849.4218","2.5361"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","Pay-as-you-go","1 GB","2.7493","2021-08-01T00:00:00.000Z","0","2.7493"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","100","1/Day","302.0558","2021-08-01T00:00:00.000Z","109.8664","3.0206"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","200","1/Day","567.12","2021-08-01T00:00:00.000Z","187.7508","2.8356"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","300","1/Day","832.1843","2021-08-01T00:00:00.000Z","293.4773","2.7739"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","400","1/Day","1084.9181","2021-08-01T00:00:00.000Z","391.1165","2.7123"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","500","1/Day","1333.0359","2021-08-01T00:00:00.000Z","491.478","2.6661"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","1000","1/Day","2619.8394","2021-06-08T00:00:00.000Z","982.6486","2.6198"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","2000","1/Day","5116.3922","2021-06-08T00:00:00.000Z","1952.9705","2.5582"
"2023-04-12T11:28:34.468Z","Azure Monitor","swedensouth","CHF","5000","1/Day","12405.7101","2021-06-08T00:00:00.000Z","4849.3902","2.4811"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","Pay-as-you-go","1 GB","2.6624","2021-08-01T00:00:00.000Z","0","2.6624"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","100","1/Day","292.5128","2021-08-01T00:00:00.000Z","109.8681","2.9251"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","200","1/Day","549.2028","2021-08-01T00:00:00.000Z","187.7552","2.7460"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","300","1/Day","805.8929","2021-08-01T00:00:00.000Z","293.4788","2.6863"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","400","1/Day","1050.642","2021-08-01T00:00:00.000Z","391.1112","2.6266"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","500","1/Day","1290.921","2021-08-01T00:00:00.000Z","491.4799","2.5818"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","1000","1/Day","2537.0701","2021-06-08T00:00:00.000Z","982.6749","2.5371"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","2000","1/Day","4954.7487","2021-06-08T00:00:00.000Z","1952.9182","2.4774"
"2023-05-02T06:07:40.927Z","Azure Monitor","swedensouth","CHF","5000","1/Day","12013.7733","2021-06-08T00:00:00.000Z","4849.3474","2.4028"
