"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.1059","2018-02-01T00:00:00.000Z","0","4.1059"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","326.5695","2019-11-01T00:00:00.000Z","79.5366","3.2657"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","613.1508","2019-11-01T00:00:00.000Z","187.7548","3.0658"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","899.7322","2019-11-01T00:00:00.000Z","293.4739","2.9991"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","400 GB Commitment Tier Capacity Reservation","400","1/Day","1172.9842","2019-11-01T00:00:00.000Z","391.1121","2.9325"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","500 GB Commitment Tier Capacity Reservation","500","1/Day","1441.2377","2019-11-01T00:00:00.000Z","491.4707","2.8825"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","2832.4903","2021-06-01T02:00:00.000Z","982.6506","2.8325"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","5531.687","2021-06-01T02:00:00.000Z","1952.9345","2.7658"
"2023-03-29T15:50:58.330Z","Azure Monitor","canadaeast","AUD","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","13412.6748","2021-06-01T02:00:00.000Z","4849.4739","2.6825"
"2023-04-12T13:28:34.468Z","Azure Monitor","canadaeast","AUD","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","4.1296","2018-02-01T00:00:00.000Z","0","4.1296"
"2023-04-12T13:28:34.468Z","Azure Monitor","canadaeast","AUD","100 GB Commitment Tier Capacity Reservation","100","1/Day","328.4507","2019-11-01T00:00:00.000Z","79.5357","3.2845"
"2023-04-12T13:28:34.468Z","Azure Monitor","canadaeast","AUD","200 GB Commitment Tier Capacity Reservation","200","1/Day","616.6829","2019-11-01T00:00:00.000Z","187.7555","3.0834"
"2023-04-12T13:28:34.468Z","Azure Monitor","canadaeast","AUD","300 GB Commitment Tier Capacity Reservation","300","1/Day","904.9151","2019-11-01T00:00:00.000Z","293.4796","3.0164"
