TimeGenerated,OperationName,Category,ResultType,ResultDescription,CorrelationId,Identity,Level,Location,AppDisplayName,AppId,ClientAppUsed,ConditionalAccessPolicies,ConditionalAccessStatus,DeviceDetail,IPAddress,LocationDetails,ResourceDisplayName,UserPrincipalName,UserType,UserDisplayName,,,,,
2024/02/02T09:11:00,Sign-in activity,SignInLogs,0,,e1ac516b-6af2-4714-ae23-e32f4a467ae5,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T09:10:00,Sign-in activity,SignInLogs,0,,e1ac516b-6af2-4714-ae23-e32f4a467ae5,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T09:00:00,Sign-in activity,SignInLogs,0,,e1ac516b-6af2-4714-ae23-e32f4a467ae5,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T09:00:00,Sign-in activity,SignInLogs,0,,e1ac516b-6af2-4714-ae23-e32f4a467ae5,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T08:59:00,Sign-in activity,SignInLogs,50140,This error occurred due to 'Keep me signed in' interrupt when the user was signing-in.,ed32f8b6-8842-4d48-8ff9-0d6ceb6dffff,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T08:58:00,Sign-in activity,SignInLogs,50126,Invalid username or password or Invalid on-premise username or password.,ed32f8b6-8842-4d48-8ff9-0d6ceb6dffff,Angel Brown,4,GB,Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""Windows10"",""browser"":""Edge 121.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Windows Azure Service Management API,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T07:27:00,Sign-in activity,SignInLogs,0,,af4d6565-6a1d-4470-9262-5efe81e4b204,Angel Brown,4,GB,Microsoft Account Controls V2,7eadcef8-456d-4611-9480-4fff72b8b9e2,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""MacOs"",""browser"":""Edge 120.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Microsoft Graph,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T07:12:00,Sign-in activity,SignInLogs,0,,cde26d95-8f1a-42fb-9ec5-6ab6591bd876,Angel Brown,4,GB,Office365 Shell WCSS-Client,89bee1f7-5e6e-4d8a-9f3d-ecd601259da7,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""MacOs"",""browser"":""Edge 120.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Office365 Shell WCSS-Server,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T07:12:00,Sign-in activity,SignInLogs,0,,836e97ad-f8d3-446d-8795-17ac49f7065c,Angel Brown,4,GB,Office365 Shell WCSS-Client,89bee1f7-5e6e-4d8a-9f3d-ecd601259da7,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""failure""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""MacOs"",""browser"":""Edge 120.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Microsoft Graph,angel.brown@contoso.com,Member,Angel Brown,,,,,
2024/02/02T07:11:00,Sign-in activity,SignInLogs,0,,3c2be104-9ac2-462a-bcf5-5fce239bf42f,Angel Brown,4,GB,Office365 Shell WCSS-Client,89bee1f7-5e6e-4d8a-9f3d-ecd601259da7,Browser,"[{""conditionsNotSatisfied"":0,""conditionsSatisfied"":3,""displayName"":""Contoso partners and vendors MFA"",""enforcedGrantControls"":[""Mfa""],""id"":""8872f6fb-da88-4b63-bcc7-17247669596b"",""result"":""success""},{""conditionsNotSatisfied"":2,""conditionsSatisfied"":1,""displayName"":""Block Untrusted Locations-DO NOT DELETE"",""enforcedGrantControls"":[""Block""],""id"":""7115628f-b760-4ad7-8cb4-fd1fef701b41"",""result"":""notApplied""}]",notApplied,"{""deviceId"":"""",""operatingSystem"":""MacOs"",""browser"":""Edge 120.0.0""}",192.168.1.10,"{""city"":""Reading"",""countryOrRegion"":""GB"",""geoCoordinates"":{""latitude"":""51.461216"",""longitude"":""-0.926469""},""state"":""Reading""}",Microsoft Graph,angel.brown@contoso.com,Member,Angel Brown,,,,,
