"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","Pay-as-you-go","1 GB","205.74","2019-09-24T00:00:00.000Z","0","205.74"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","100","1/Day","10287","2019-09-24T00:00:00.000Z","50","102.87"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","200","1/Day","18516.6","2019-09-24T00:00:00.000Z","180","92.583"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","300","1/Day","26746.2","2019-09-24T00:00:00.000Z","288.8889","89.154"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","400","1/Day","34290","2019-09-24T00:00:00.000Z","384.6154","85.725"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","500","1/Day","41148","2019-09-24T00:00:00.000Z","480","82.296"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","1000","1/Day","80238.6","2021-06-01T00:00:00.000Z","975","80.2386"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","2000","1/Day","152247.6","2021-06-01T00:00:00.000Z","1897.4359","76.1238"
"2023-03-29T13:50:58.330Z","Sentinel","switzerlandnorth","RUB","5000","1/Day","360045","2021-06-01T00:00:00.000Z","4729.7297","72.009"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","Pay-as-you-go","1 GB","208.575","2019-09-24T00:00:00.000Z","0","208.575"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","100","1/Day","10428.75","2019-09-24T00:00:00.000Z","50","104.2875"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","200","1/Day","18771.75","2019-09-24T00:00:00.000Z","180","93.8588"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","300","1/Day","27114.75","2019-09-24T00:00:00.000Z","288.8887","90.3825"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","400","1/Day","34762.5","2019-09-24T00:00:00.000Z","384.6154","86.9062"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","500","1/Day","41715","2019-09-24T00:00:00.000Z","480.0003","83.43"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","1000","1/Day","81344.25","2021-06-01T00:00:00.000Z","975","81.3442"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","2000","1/Day","154345.5","2021-06-01T00:00:00.000Z","1897.4371","77.1728"
"2023-04-12T11:28:34.468Z","Sentinel","switzerlandnorth","RUB","5000","1/Day","365006.25","2021-06-01T00:00:00.000Z","4729.7267","73.0012"
