"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6821.52","2023-07-01T00:00:00.000Z","0","6821.52"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","448845.44","2023-07-01T00:00:00.000Z","65.7984","4488.4544"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","830427.52","2023-07-01T00:00:00.000Z","185.0141","4152.1376"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1212009.6","2023-07-01T00:00:00.000Z","291.9002","4040.032"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1571170.56","2023-07-01T00:00:00.000Z","388.9005","3927.9264"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1915313.6","2023-07-01T00:00:00.000Z","487.6144","3830.6272"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3754480","2023-07-01T00:00:00.000Z","980.1215","3754.48"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7263596.8","2023-07-01T00:00:00.000Z","1934.6479","3631.7984"
"2023-09-11T15:21:36.457Z","Sentinel","canadacentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17471552","2023-07-01T00:00:00.000Z","4810.7164","3494.3104"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6962.904","2023-07-01T00:00:00.000Z","0","6962.904"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","458148.288","2023-07-01T00:00:00.000Z","65.7984","4581.4829"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","847639.104","2023-07-01T00:00:00.000Z","185.0141","4238.1955"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1237129.92","2023-07-01T00:00:00.000Z","291.9002","4123.7664"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1603734.912","2023-07-01T00:00:00.000Z","388.9005","4009.3373"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1955010.72","2023-07-01T00:00:00.000Z","487.6144","3910.0214"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3832296","2023-07-01T00:00:00.000Z","980.1215","3832.296"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","7414143.36","2023-07-01T00:00:00.000Z","1934.6479","3707.0717"
"2023-10-02T06:09:57.719Z","Sentinel","canadacentral","KRW","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","17833670.4","2023-07-01T00:00:00.000Z","4810.7163","3566.7341"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","Pay-as-you-go Analysis","Pay-as-you-go","1 GB","6996.186","2023-07-01T00:00:00.000Z","0","6996.186"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","100 GB Commitment Tier Capacity Reservation","100","1/Day","460338.192","2023-07-01T00:00:00.000Z","65.7984","4603.3819"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","200 GB Commitment Tier Capacity Reservation","200","1/Day","851690.736","2023-07-01T00:00:00.000Z","185.0141","4258.4537"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","300 GB Commitment Tier Capacity Reservation","300","1/Day","1243043.28","2023-07-01T00:00:00.000Z","291.9002","4143.4776"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","400 GB Commitment Tier Capacity Reservation","400","1/Day","1611400.608","2023-07-01T00:00:00.000Z","388.9005","4028.5015"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","500 GB Commitment Tier Capacity Reservation","500","1/Day","1964355.48","2023-07-01T00:00:00.000Z","487.6144","3928.711"
"2023-11-01T06:09:55.088Z","Sentinel","canadacentral","KRW","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","3850614","2023-07-01T00:00:00.000Z","980.1215","3850.614"
