"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","21.5966","2018-02-01T00:00:00.000Z","0","21.5966"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1701.3413","2019-11-01T00:00:00.000Z","78.7782","17.0134"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3194.355","2019-11-01T00:00:00.000Z","187.7552","15.9718"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","4687.3688","2019-11-01T00:00:00.000Z","293.4778","15.6246"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","6110.94","2019-11-01T00:00:00.000Z","391.1102","15.2774"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","7508.4703","2019-11-01T00:00:00.000Z","491.4757","15.0169"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","14756.5313","2021-06-01T02:00:00.000Z","982.6616","14.7565"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","28818.6375","2021-06-01T02:00:00.000Z","1952.9453","14.4093"
"2023-03-29T15:50:58.330Z","Azure Monitor","koreasouth","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","69876.5156","2021-06-01T02:00:00.000Z","4849.4039","13.9753"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","21.4212","2018-02-01T00:00:00.000Z","0","21.4212"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","100 GB Commitment Tier Capacity Reservation","100","1/Day","1687.5232","2019-11-01T00:00:00.000Z","78.7782","16.8752"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","200 GB Commitment Tier Capacity Reservation","200","1/Day","3168.411","2019-11-01T00:00:00.000Z","187.7555","15.8421"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","300 GB Commitment Tier Capacity Reservation","300","1/Day","4649.2987","2019-11-01T00:00:00.000Z","293.4774","15.4977"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","400 GB Commitment Tier Capacity Reservation","400","1/Day","6061.308","2019-11-01T00:00:00.000Z","391.1102","15.1533"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","500 GB Commitment Tier Capacity Reservation","500","1/Day","7447.4878","2019-11-01T00:00:00.000Z","491.4763","14.895"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","14636.6812","2021-06-01T02:00:00.000Z","982.6573","14.6367"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","28584.5775","2021-06-01T02:00:00.000Z","1952.9387","14.2923"
"2023-04-12T13:28:34.468Z","Azure Monitor","koreasouth","CNY","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","69308.9906","2021-06-01T02:00:00.000Z","4849.3938","13.8618"
