"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","Pay-as-you-go","1 GB","5.8342","2021-06-01T00:00:00.000Z","0","5.8342"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","100","1/Day","497.1328","2021-06-01T00:00:00.000Z","85.2101","4.9713"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","200","1/Day","933.3997","2021-06-01T00:00:00.000Z","187.7577","4.667"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","300","1/Day","1369.6666","2021-06-01T00:00:00.000Z","293.479","4.5656"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","400","1/Day","1785.6449","2021-06-01T00:00:00.000Z","391.1085","4.4641"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","500","1/Day","2194.0098","2021-06-01T00:00:00.000Z","491.4786","4.388"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","1000","1/Day","4311.9133","2021-06-01T00:00:00.000Z","982.6603","4.3119"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","2000","1/Day","8420.9131","2021-06-01T00:00:00.000Z","1952.9472","4.2105"
"2023-03-29T13:50:58.330Z","Azure Monitor","norwaywest","CAD","5000","1/Day","20418.1778","2021-06-01T00:00:00.000Z","4849.3475","4.0836"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","Pay-as-you-go","1 GB","5.8092","2021-06-01T00:00:00.000Z","0","5.8092"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","100","1/Day","495.0013","2021-06-01T00:00:00.000Z","85.2099","4.9500"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","200","1/Day","929.3976","2021-06-01T00:00:00.000Z","187.7571","4.6470"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","300","1/Day","1363.794","2021-06-01T00:00:00.000Z","293.4784","4.5460"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","400","1/Day","1777.9887","2021-06-01T00:00:00.000Z","391.1106","4.4450"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","500","1/Day","2184.6027","2021-06-01T00:00:00.000Z","491.4742","4.3692"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","1000","1/Day","4293.4256","2021-06-01T00:00:00.000Z","982.6571","4.2934"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","2000","1/Day","8384.8076","2021-06-01T00:00:00.000Z","1952.9528","4.1924"
"2023-04-12T11:28:34.468Z","Azure Monitor","norwaywest","CAD","5000","1/Day","20330.6328","2021-06-01T00:00:00.000Z","4849.4020","4.0661"
