"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","Pay-as-you-go","1 GB","357.3287","2019-09-24T00:00:00.000Z","0","357.3287"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","100","1/Day","17866.435","2019-09-24T00:00:00.000Z","50","178.6644"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","200","1/Day","32159.583","2019-09-24T00:00:00.000Z","179.9999","160.7979"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","300","1/Day","46452.731","2019-09-24T00:00:00.000Z","288.8889","154.8424"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","400","1/Day","59553.8741","2019-09-24T00:00:00.000Z","384.6096","148.8847"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","500","1/Day","71465.74","2019-09-24T00:00:00.000Z","480.0073","142.9315"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","1000","1/Day","139358.193","2021-06-01T00:00:00.000Z","974.9999","139.3582"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","2000","1/Day","264423.238","2021-06-01T00:00:00.000Z","1897.4358","132.2116"
"2023-03-29T13:50:58.330Z","Sentinel","ukwest","JPY","5000","1/Day","625325.225","2021-06-01T00:00:00.000Z","4729.7304","125.065"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","Pay-as-you-go","1 GB","347.1631","2019-09-24T00:00:00.000Z","0","347.1631"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","100","1/Day","17358.155","2019-09-24T00:00:00.000Z","50","173.5816"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","200","1/Day","31244.679","2019-09-24T00:00:00.000Z","179.9999","156.2234"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","300","1/Day","45131.203","2019-09-24T00:00:00.000Z","288.8889","150.4373"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","400","1/Day","57859.6333","2019-09-24T00:00:00.000Z","384.6096","144.6491"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","500","1/Day","69432.62","2019-09-24T00:00:00.000Z","480.0073","138.8652"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","1000","1/Day","135393.609","2021-06-01T00:00:00.000Z","975.0003","135.3936"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","2000","1/Day","256900.694","2021-06-01T00:00:00.000Z","1897.436","128.4503"
"2023-04-12T11:28:34.468Z","Sentinel","ukwest","JPY","5000","1/Day","607535.425","2021-06-01T00:00:00.000Z","4729.7315","121.5071"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","Pay-as-you-go","1 GB","349.3639","2019-09-24T00:00:00.000Z","0","349.3639"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","100","1/Day","17468.195","2019-09-24T00:00:00.000Z","50","174.682"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","200","1/Day","31442.751","2019-09-24T00:00:00.000Z","179.9999","157.2138"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","300","1/Day","45417.307","2019-09-24T00:00:00.000Z","288.8888","151.391"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","400","1/Day","58226.4277","2019-09-24T00:00:00.000Z","384.6096","145.5661"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","500","1/Day","69872.78","2019-09-24T00:00:00.000Z","480.0072","139.7456"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","1000","1/Day","136251.921","2021-06-01T00:00:00.000Z","974.9997","136.2519"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","2000","1/Day","258529.286","2021-06-01T00:00:00.000Z","1897.4362","129.2646"
"2023-05-02T06:07:40.927Z","Sentinel","ukwest","JPY","5000","1/Day","611386.825","2021-06-01T00:00:00.000Z","4729.7313","122.2774"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","Pay-as-you-go","1 GB","794.9975","2023-07-01T00:00:00.000Z","0","794.9975"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","100","1/Day","55482.1528","2023-07-01T00:00:00.000Z","69.7891","554.8215"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","200","1/Day","102702.1134","2023-07-01T00:00:00.000Z","185.1084","513.5106"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","300","1/Day","149922.074","2023-07-01T00:00:00.000Z","291.9552","499.7402"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","400","1/Day","194387.0069","2023-07-01T00:00:00.000Z","388.9761","485.9675"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","500","1/Day","237032.1182","2023-07-01T00:00:00.000Z","487.7530","474.0642"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","1000","1/Day","464683.266","2023-07-01T00:00:00.000Z","980.2117","464.6833"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","2000","1/Day","899301.172","2023-07-01T00:00:00.000Z","1935.2991","449.6506"
"2023-07-02T06:08:00.652Z","Sentinel","ukwest","JPY","5000","1/Day","2163766.3775","2023-07-01T00:00:00.000Z","4812.1061","432.7533"
