"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3261.875","2019-09-24T02:00:00.000Z","0","3261.875"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","163093.75","2019-09-24T02:00:00.000Z","50","1630.9375"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","293568.75","2019-09-24T02:00:00.000Z","180","1467.8438"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","424043.75","2019-09-24T02:00:00.000Z","288.8889","1413.4792"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","543637.135","2019-09-24T02:00:00.000Z","384.6092","1359.0928"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","652375","2019-09-24T02:00:00.000Z","480.0077","1304.75"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1272131.25","2021-06-01T02:00:00.000Z","975","1272.1312"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2413787.5","2021-06-01T02:00:00.000Z","1897.436","1206.8938"
"2023-03-29T15:50:58.330Z","Sentinel","uksouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","5708281.25","2021-06-01T02:00:00.000Z","4729.7295","1141.6562"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3256.625","2019-09-24T02:00:00.000Z","0","3256.625"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","162831.25","2019-09-24T02:00:00.000Z","50","1628.3125"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","293096.25","2019-09-24T02:00:00.000Z","180","1465.4812"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","423361.25","2019-09-24T02:00:00.000Z","288.8889","1411.2042"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","542762.149","2019-09-24T02:00:00.000Z","384.6092","1356.9054"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","651325","2019-09-24T02:00:00.000Z","480.0077","1302.65"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1270083.75","2021-06-01T02:00:00.000Z","975","1270.0838"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2409902.5","2021-06-01T02:00:00.000Z","1897.4358","1204.9512"
"2023-04-12T13:28:34.468Z","Sentinel","uksouth","KRW","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","5699093.75","2021-06-01T02:00:00.000Z","4729.7299","1139.8188"
