"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","34.5075","2020-10-01T02:00:00.000Z","0","34.5075"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2940.6417","2020-10-01T02:00:00.000Z","85.2175","29.4064"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5521.2048","2020-10-01T02:00:00.000Z","187.7552","27.606"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8101.768","2020-10-01T02:00:00.000Z","293.4785","27.0059"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","10562.3049","2020-10-01T02:00:00.000Z","391.111","26.4058"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","500 GB Commitment Tier Capacity Reservation","500","1/Day","12977.832","2020-10-01T02:00:00.000Z","491.4766","25.9557"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","1000 GB Commitment Tier Capacity Reservation","1000","1/Day","25505.5658","2021-06-01T02:00:00.000Z","982.6576","25.5056"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","2000 GB Commitment Tier Capacity Reservation","2000","1/Day","49810.8697","2021-06-01T02:00:00.000Z","1952.9386","24.9054"
"2023-03-29T15:50:58.330Z","Azure Monitor","norwayeast","SEK","5000 GB Commitment Tier Capacity Reservation","5000","1/Day","120776.3557","2021-06-01T02:00:00.000Z","4849.4044","24.1553"
"2023-04-12T13:28:34.468Z","Azure Monitor","norwayeast","SEK","Pay-as-you-go Data Ingestion","Pay-as-you-go","1 GB","34.2475","2020-10-01T02:00:00.000Z","0","34.2475"
"2023-04-12T13:28:34.468Z","Azure Monitor","norwayeast","SEK","100 GB Commitment Tier Capacity Reservation","100","1/Day","2918.4856","2020-10-01T02:00:00.000Z","85.2175","29.1849"
"2023-04-12T13:28:34.468Z","Azure Monitor","norwayeast","SEK","200 GB Commitment Tier Capacity Reservation","200","1/Day","5479.6056","2020-10-01T02:00:00.000Z","187.7548","27.398"
"2023-04-12T13:28:34.468Z","Azure Monitor","norwayeast","SEK","300 GB Commitment Tier Capacity Reservation","300","1/Day","8040.7256","2020-10-01T02:00:00.000Z","293.4786","26.8024"
"2023-04-12T13:28:34.468Z","Azure Monitor","norwayeast","SEK","400 GB Commitment Tier Capacity Reservation","400","1/Day","10482.7237","2020-10-01T02:00:00.000Z","391.1114","26.2068"
