"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","Pay-as-you-go","1 GB","2.9753","2021-09-01T00:00:00.000Z","0","2.9753"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","100","1/Day","212.7343","2020-10-01T00:00:00.000Z","71.5001","2.1273"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","200","1/Day","382.9217","2020-10-01T00:00:00.000Z","180.0036","1.9146"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","300","1/Day","553.1092","2020-10-01T00:00:00.000Z","288.8902","1.8437"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","400","1/Day","709.1044","2020-10-01T00:00:00.000Z","384.6094","1.7728"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","500","1/Day","850.9372","2020-10-01T00:00:00.000Z","479.9962","1.7019"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","1000","1/Day","1659.3276","2021-06-01T00:00:00.000Z","974.9854","1.6593"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","2000","1/Day","3148.4677","2021-06-01T00:00:00.000Z","1897.4674","1.5742"
"2023-03-29T13:50:58.330Z","Sentinel","norwayeast","AUD","5000","1/Day","7445.7007","2021-06-01T00:00:00.000Z","4729.8315","1.4891"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","Pay-as-you-go","1 GB","2.9924","2021-09-01T00:00:00.000Z","0","2.9924"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","100","1/Day","213.9598","2020-10-01T00:00:00.000Z","71.5011","2.1396"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","200","1/Day","385.1276","2020-10-01T00:00:00.000Z","179.9998","1.9256"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","300","1/Day","556.2954","2020-10-01T00:00:00.000Z","288.8946","1.8543"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","400","1/Day","713.1892","2020-10-01T00:00:00.000Z","384.6137","1.7830"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","500","1/Day","855.839","2020-10-01T00:00:00.000Z","479.9994","1.7117"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","1000","1/Day","1668.8861","2021-06-01T00:00:00.000Z","974.9875","1.6689"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","2000","1/Day","3166.6043","2021-06-01T00:00:00.000Z","1897.4200","1.5833"
"2023-04-12T11:28:34.468Z","Sentinel","norwayeast","AUD","5000","1/Day","7488.5913","2021-06-01T00:00:00.000Z","4729.7362","1.4977"
