"TimeGenerated","ServiceName","ArmRegionName","CurrencyCode","MeterName","Tier","UnitOfMeasure","RetailPrice","EffectiveStartDate","EffectiveCommitmentTierThresholdGB","EffectivePricePerGB"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.5474","2019-09-24T02:00:00.000Z","0","3.5474"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","177.372","2019-09-24T02:00:00.000Z","50.0006","1.7737"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","319.2696","2019-09-24T02:00:00.000Z","180.002","1.5963"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","461.1672","2019-09-24T02:00:00.000Z","288.8976","1.5372"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 400 GB Commitment Tier Capacity Reservation","400","1/Day","591.2355","2019-09-24T02:00:00.000Z","384.6185","1.4781"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 500 GB Commitment Tier Capacity Reservation","500","1/Day","709.488","2019-09-24T02:00:00.000Z","480","1.419"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 1000 GB Commitment Tier Capacity Reservation","1000","1/Day","1383.5016","2021-06-01T02:00:00.000Z","974.9835","1.3835"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 2000 GB Commitment Tier Capacity Reservation","2000","1/Day","2625.1056","2021-06-01T02:00:00.000Z","1897.4381","1.3126"
"2023-03-29T15:50:58.330Z","Sentinel","westeurope","CAD","Classic 5000 GB Commitment Tier Capacity Reservation","5000","1/Day","6208.02","2021-06-01T02:00:00.000Z","4729.5597","1.2416"
"2023-04-12T13:28:34.468Z","Sentinel","westeurope","CAD","Pay-as-you-go Data Analysis","Pay-as-you-go","1 GB","3.5322","2019-09-24T02:00:00.000Z","0","3.5322"
"2023-04-12T13:28:34.468Z","Sentinel","westeurope","CAD","Classic 100 GB Commitment Tier Capacity Reservation","100","1/Day","176.6115","2019-09-24T02:00:00.000Z","50.0004","1.7661"
"2023-04-12T13:28:34.468Z","Sentinel","westeurope","CAD","Classic 200 GB Commitment Tier Capacity Reservation","200","1/Day","317.9007","2019-09-24T02:00:00.000Z","180.0015","1.5895"
"2023-04-12T13:28:34.468Z","Sentinel","westeurope","CAD","Classic 300 GB Commitment Tier Capacity Reservation","300","1/Day","459.1899","2019-09-24T02:00:00.000Z","288.8895","1.5306"
